,age,year,networth low,networth high
0,37,2022,34834.53331449833,57352.28255662844
1,38,2023,35904.88675280371,58963.623629673035
2,39,2024,36095.394330064984,60939.09044498554
3,40,2025,75901.82696858875,99209.74995796308
4,41,2026,101058.83156342657,126225.05165598822
5,42,2027,126511.99848465316,155652.65672983587
6,43,2028,152881.6150615709,186197.52681274654
7,44,2029,179640.81266493796,218553.22153972418
8,45,2030,207417.52565657726,252737.56035005226
9,46,2031,235778.10777332442,288932.8549363255
10,47,2032,264194.77131314564,326315.409197519
11,48,2033,293966.4960152773,366128.50870092073
12,49,2034,325042.47066847706,408827.41526079236
13,50,2035,121921.58449540955,211069.48133545605
14,51,2036,50326.14554088195,145898.44022173804
15,52,2037,-27568.64849698446,77139.98082282137
16,53,2038,-82195.39935869242,1164.0592695496666
17,54,2039,-91740.2349977518,-72240.81665490854
18,55,2040,-96499.95976258843,-76620.54362057506
19,56,2041,-99924.97826751557,-79153.80138228138
20,57,2042,-103274.61436429543,-82024.30789173099
21,58,2043,-106886.6339186184,-84214.56262950633
22,59,2044,-110792.70155760746,-87778.93188992795
23,60,2045,585185.5351465171,1526496.3375575405
24,61,2046,517371.1234847913,1543219.9832068642
25,62,2047,465494.1797016629,1566541.2129637103
26,63,2048,374659.2869156254,1571283.6668282982
27,64,2049,270222.2390325622,1555012.7708570962
28,65,2050,156273.24370234864,1548132.5564445017
29,66,2051,50656.815876661516,1562050.2014586013
30,67,2052,-71805.74311081372,1562563.3396086807
31,68,2053,-147832.66826981396,1572108.0497121688
32,69,2054,-121610.68582642918,1578296.2291402668
33,70,2055,-134523.75115211215,1502733.546638896
34,71,2056,-139808.49788026878,1497987.8551820628
35,72,2057,-154234.5421942038,1431832.1925058807
36,73,2058,-127397.774321059,1365417.2491125816
37,74,2059,-188402.09687666738,1313034.90412027
38,75,2060,-160711.88072435983,1244328.0139392114
39,76,2061,-189729.67169732277,1111452.6084502276
40,77,2062,-186725.22781925168,1017430.2605284706
41,78,2063,-175214.14142840015,881464.4856915856
42,79,2064,-197979.63092983712,760097.1677719312
43,80,2065,-201852.23989876386,626016.0911258485
44,81,2066,-204036.33032719526,473462.43748097785
45,82,2067,-204813.29314920236,305043.92865917855
46,83,2068,-223093.0795967915,111827.64516343166
47,84,2069,-238777.604736761,-103805.14200077642
48,85,2070,-273490.290579648,-204373.03436842858
49,86,2071,-284921.24785445165,-211954.83221270918
50,87,2072,-294043.29690087104,-218183.0855826551
51,88,2073,-302557.92128256377,-226917.75689029245
52,89,2074,-313632.6385541784,-234504.35260239337
53,90,2075,-326818.4132456752,-240951.0688739205
54,91,2076,-336786.7130962606,-251026.2126090492
55,92,2077,-349132.55509019573,-260801.97607528543
56,93,2078,-362000.67039997334,-266786.21898144786
57,94,2079,-374699.26294732274,-277033.178757733
58,95,2080,-386697.89677623106,-287282.02506552706
59,96,2081,-400142.02385289513,-297336.9325417876
60,97,2082,-413067.6096402234,-306750.0840061076
61,98,2083,-430199.98400580836,-318751.3525843704
62,99,2084,-443940.0788412877,-327774.876031165
