,age,year,401k balance low,401k balance high,401k distribution low,401k distribution high,total low,total high
0,37,2022,206963.22916012528,242717.9551446596,0.0,0.0,207141.28246879712,242850.7231275848
1,38,2023,218718.63806948872,273218.3456114799,0.0,0.0,218862.36389742972,273523.73879393877
2,39,2024,233184.41840994707,305245.0494550406,0.0,0.0,233595.90193916246,306007.2723731023
3,40,2025,250002.95149564717,338812.1522088998,0.0,0.0,249850.00058529663,338387.8706738036
4,41,2026,266991.0512576359,374809.95945894637,0.0,0.0,267231.34732672886,373903.8872059962
5,42,2027,285419.5663840361,412133.0782775242,0.0,0.0,286006.3477708317,411954.51271925954
6,43,2028,305208.70573128865,451973.99151360075,0.0,0.0,304465.29248624673,452372.2845146405
7,44,2029,326213.93714540935,497169.5408643976,0.0,0.0,327038.6244940889,496680.8092868783
8,45,2030,349428.5322495244,544392.6159017119,0.0,0.0,349211.2829333947,543123.7976795173
9,46,2031,372911.60687940917,597282.3672732131,0.0,0.0,373255.01115277875,597419.8898386039
10,47,2032,397893.10254476906,651502.5681651459,0.0,0.0,394201.72526169923,649939.99105145
11,48,2033,426564.09428032197,712137.2502013203,0.0,0.0,424252.2829453956,710773.2822326409
12,49,2034,457575.3868423989,773145.1294069997,0.0,0.0,455847.59133688774,771668.105941274
13,50,2035,483058.83768048807,836245.5821262158,0.0,0.0,486067.59989827825,834944.8867662397
14,51,2036,507346.2342903544,904687.1491775779,0.0,0.0,503621.587915012,903997.6633014231
15,52,2037,533292.4289615299,969831.7360733164,0.0,0.0,529379.6415288618,974227.3450915768
16,53,2038,562693.5723865014,1041757.4853089852,0.0,0.0,557119.5161500884,1044687.28355371
17,54,2039,588685.1112102871,1122115.9952128853,0.0,0.0,590919.6152000371,1119787.7724396945
18,55,2040,617155.0594702186,1211805.999034381,0.0,0.0,619447.2607180683,1215409.7860160978
19,56,2041,645943.5667241173,1298551.651585985,0.0,0.0,649665.4962875458,1290933.8660590225
20,57,2042,679404.3121056139,1398094.4116439105,0.0,0.0,677164.9677929936,1394632.3366598317
21,58,2043,720889.6486334428,1501068.33532484,0.0,0.0,714233.0775863423,1505930.5580608512
22,59,2044,757681.8942058621,1614898.942834225,0.0,0.0,760182.8833477851,1618236.7974133177
23,60,2045,691537.0454368164,1634819.8470601155,90771.2402122936,114970.31898597785,692417.3751201478,1627043.801808834
